timestamp,indexPrice
1719763200000,"61612.17"
1719763260000,"61624.02"
1719763320000,"61633.86"
1719763380000,"61627.58"
1719763440000,"61625.55"
1719763500000,"61591.41"
1719763560000,"61575.85"
1719763620000,"61601.25"
1719763680000,"61577.28"
1719763740000,"61569.91"
1719763800000,"61562.02"
1719763860000,"61580.65"
1719763920000,"61566.69"
1719763980000,"61555.16"
1719764040000,"61526.19"
1719764100000,"61556.81"
1719764160000,"61558.37"
1719764220000,"61527.08"
1719764280000,"61534.13"
1719764340000,"61529.83"
1719764400000,"61534.47"
1719764460000,"61528.45"
1719764520000,"61530.48"
1719764580000,"61529.16"
1719764640000,"61540.86"
1719764700000,"61523.51"
1719764760000,"61514.31"
1719764820000,"61510.7"
1719764880000,"61503.05"
1719764940000,"61498.97"
1719765000000,"61500.77"
1719765060000,"61498.75"
1719765120000,"61486.53"
1719765180000,"61509.09"
1719765240000,"61524.39"
1719765300000,"61519.93"
1719765360000,"61521.8"
1719765420000,"61510.45"
1719765480000,"61512.07"
1719765540000,"61522.79"
1719765600000,"61546.05"
1719765660000,"61535.92"
1719765720000,"61544.01"
1719765780000,"61553.95"
1719765840000,"61545.76"
1719765900000,"61532.77"
1719765960000,"61546.46"
1719766020000,"61546.46"
1719766080000,"61542.51"
1719766140000,"61548.19"
1719766200000,"61541.17"
1719766260000,"61527.53"
1719766320000,"61523.88"
1719766380000,"61523.74"
1719766440000,"61523.02"
1719766500000,"61520.53"
1719766560000,"61520.22"
1719766620000,"61525.18"
1719766680000,"61524.58"
1719766740000,"61518.41"
1719766800000,"61514.6"
1719766860000,"61532.97"
1719766920000,"61534.71"
1719766980000,"61520.03"
1719767040000,"61521.86"
1719767100000,"61518.59"
1719767160000,"61521.77"
1719767220000,"61525.02"
1719767280000,"61537.89"
1719767340000,"61534.85"
1719767400000,"61534.58"
1719767460000,"61529.6"
1719767520000,"61522.38"
1719767580000,"61520.61"
1719767640000,"61519.04"
1719767700000,"61516.89"
1719767760000,"61541.14"
1719767820000,"61549.5"
1719767880000,"61550.26"
1719767940000,"61586.65"
1719768000000,"61635.96"
1719768060000,"61677.83"
1719768120000,"61723.51"
1719768180000,"61740.61"
1719768240000,"61702.52"
1719768300000,"61704.81"
1719768360000,"61712.62"
1719768420000,"61715.18"
1719768480000,"61728.26"
1719768540000,"61683.88"
1719768600000,"61694.79"
1719768660000,"61708.65"
1719768720000,"61693.95"
1719768780000,"61664.86"
1719768840000,"61688.23"
1719768900000,"61707.24"
1719768960000,"61718.46"
1719769020000,"61709.26"
1719769080000,"61655.32"
1719769140000,"61675.31"
1719769200000,"61686.91"
1719769260000,"61695.13"
1719769320000,"61648.06"
1719769380000,"61613.44"
1719769440000,"61601.39"
1719769500000,"61607.64"
1719769560000,"61607.34"
1719769620000,"61620.81"
1719769680000,"61624.38"
1719769740000,"61662.23"
1719769800000,"61633.35"
1719769860000,"61622.01"
1719769920000,"61600.35"
1719769980000,"61586.76"
1719770040000,"61599.4"
1719770100000,"61602.45"
1719770160000,"61617.82"
1719770220000,"61613.17"
1719770280000,"61596.83"
1719770340000,"61608.01"
1719770400000,"61615.83"
1719770460000,"61601.12"
1719770520000,"61626.75"
1719770580000,"61632.77"
1719770640000,"61638.83"
1719770700000,"61646.16"
1719770760000,"61631.09"
1719770820000,"61635.56"
